item	img	match_noun_ger	match_verb_ger	match_noun_en	match_verb_en	nonmatch_noun_ger	nonmatch_verb_ger	nonmatch_noun_en	nonmatch_verb_en
1	galvanometer.bmp	elektrische Spannung	 prüfen	electric current	measuring	Makkaroni	formen	macaroni	forming
2	nudelmaschine.bmp	Makkaroni	formen	macaroni	forming	Kuh 	vom Zaun abhalten	cow	keeping away from the fence
3	Knochensaege.bmp	Knochen	sägen	bones	sawing	Streckenmaß 	Sonnenlicht nutzen	distance measure	using sunrays
4	Unkraut-Jaetzange.bmp	Unkraut 	jäten	weed	removing	Uhr	mit Wärme betreiben	clock	operating with heat
5	mausefalle.bmp	Mausefalle	zuschnappen	mousetrap	snap-shutting	Brillenglas 	zuschneiden	eyeglass lens	cutting
6	Goldmuenzen-Waage.bmp	Goldmünzen 	wiegen	gold coin	weighing	Farbe 	vom Fenster abschleifen	paint	scraping off the window
7	Knie-Schraubstock.bmp	Knie	fixieren	knee	fixating	Buchstaben 	tippen	letter	typing
8	Eierkarton-Presse.bmp	Eierkarton 	pressen	egg carton	pressing	Tabak 	zermahlen	tobacco	pulverize
9	Baum-Klettereisen.bmp	Baum 	erklettern	tree	climbing	Rotation	Ladung erzeugen	rotation	creating electric charge
10	schreibmaschine.bmp	Buchstaben 	tippen	letter	typing	Pferdehuf 	Halt geben	horse hoof	giving grip
11	Elektro-Akkordeon.bmp	Akkordeon	spielen	accordion	playing	Seil	schneiden	rope	cutting
12	trimmdichgeraet.bmp	Körper 	trainieren	body	training	Buch 	offen halten	book	binding
13	paint_scraper.bmp	Farbe 	vom Fenster abschleifen	paint	scraping off the window	von Hand 	zentrifugieren	by hand	centrifugating
14	heizpilz.bmp	Außenbereich 	heizen	outdoor area	heating	Rasierklinge 	schärfen	razor blade	sharpening
15	mikroskop.bmp	Pflanzenteile  	vergrößern	plant parts	magnifying	Katzenklo 	sich selbst reinigen	litter box	self-cleaning
16	krawattenaufhaenger.bmp	Krawatten 	aufhängen	necktie	hanging up	Zeichnungen 	vermessen	drawings	measuring
